scorer,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000
bodyparts,Focinho,Focinho,Focinho,OrelhaE,OrelhaE,OrelhaE,OrelhaD,OrelhaD,OrelhaD,Rabo,Rabo,Rabo
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
1866,341.45477294921875,67.8695297241211,0.9999974966049194,263.84222412109375,74.8134994506836,0.9998106360435486,288.31121826171875,123.17582702636719,0.9998500347137451,182.46449279785156,135.74671936035156,0.9999545812606812
1867,353.3016662597656,87.34877014160156,0.9999963045120239,278.4655456542969,78.38837432861328,0.9999545812606812,288.7614440917969,128.44020080566406,0.9999890327453613,182.34329223632812,137.17080688476562,0.9999275207519531
1868,361.4710693359375,105.09967803955078,0.9999346733093262,294.044677734375,83.71234130859375,0.9999899864196777,295.39501953125,131.29385375976562,0.999987006187439,182.5009002685547,137.88189697265625,0.999895453453064
1869,368.46539306640625,115.10652923583984,0.999997615814209,307.3396911621094,87.1218490600586,0.9999884366989136,305.4769287109375,134.67225646972656,0.999991774559021,182.1597137451172,138.2561492919922,0.9998959302902222
1870,374.56536865234375,124.9742202758789,0.9999735355377197,320.7791442871094,91.49198150634766,0.9998718500137329,315.1554260253906,137.9309844970703,0.9999089241027832,181.6804656982422,138.63873291015625,0.9999117851257324
1871,379.00445556640625,131.171875,0.9999836683273315,330.25506591796875,96.41057586669922,0.9999476671218872,321.1756896972656,141.30104064941406,0.9999809265136719,180.3375701904297,134.62327575683594,0.9999797344207764
1872,377.0469970703125,137.35728454589844,0.9999339580535889,333.9112854003906,100.40713500976562,0.9999638795852661,323.093994140625,144.85560607910156,0.9999970197677612,179.74598693847656,131.8766326904297,0.9999891519546509
1873,377.6285705566406,143.6650390625,0.9999817609786987,335.30059814453125,107.57648468017578,0.9998351335525513,325.90283203125,149.33258056640625,0.9999942779541016,178.6334228515625,127.77263641357422,0.9999842643737793
1874,376.059326171875,146.58953857421875,0.999995231628418,334.6483459472656,110.67118835449219,0.9998273253440857,323.41534423828125,152.13880920410156,0.9999901056289673,178.2476806640625,124.13421630859375,0.9999430179595947
1875,375.3270568847656,150.00082397460938,0.9999938011169434,333.0841979980469,112.31838989257812,0.999934196472168,320.531494140625,154.25,0.9999586343765259,177.51412963867188,122.75049591064453,0.9999314546585083
